customer_id,geo,device,acquisition_channel,pages_viewed,time_on_site_sec,prior_bookings,newsletter_subscriber,booked
C_000001,NL,tablet,video,3,136.03092918449394,1,1,0
C_000002,DE,mobile,paid_social,5,233.12449942322874,0,0,0
C_000003,FR,mobile,search,5,271.4092047662356,0,0,0
C_000004,FR,desktop,paid_social,7,293.26731014355795,0,0,0
C_000005,NL,mobile,search,6,81.58691998008054,0,0,0
C_000006,UK,desktop,direct,6,260.46513479553363,0,0,0
C_000007,US,desktop,direct,5,216.95958076132058,0,1,0
C_000008,FR,mobile,search,5,117.2817679209909,1,0,0
C_000009,DE,desktop,search,3,116.58842137923742,0,0,0
C_000010,NL,tablet,paid_social,6,306.00796909672385,0,1,0
C_000011,ES,desktop,affiliate,5,60.47184566097847,1,0,0
C_000012,DE,tablet,email,11,69.3112276270355,0,1,0
C_000013,NL,desktop,direct,5,147.58483857925185,0,0,0
C_000014,DE,mobile,paid_social,10,111.50417944437322,0,0,0
C_000015,IT,desktop,video,6,167.46860787826446,0,1,0
C_000016,SE,mobile,search,5,168.22949021209158,1,0,0
C_000017,AU,mobile,search,9,93.7378370659942,0,0,0
C_000018,NL,desktop,video,7,243.6693102334846,0,1,0
C_000019,UK,desktop,display,7,85.69441554314054,0,0,0
C_000020,US,mobile,direct,4,112.0559936802707,1,0,0
C_000021,UK,desktop,direct,1,43.04886739903137,1,0,1
C_000022,FR,desktop,search,5,223.27307829349598,0,0,0
C_000023,US,desktop,email,10,46.07168574818701,0,0,0
C_000024,CA,mobile,search,12,230.0759158307649,0,1,0
C_000025,FR,mobile,search,3,145.27592425163962,0,1,0
C_000026,FR,mobile,affiliate,3,213.90328921250645,0,0,0
C_000027,ES,mobile,search,6,195.9499885975924,1,0,0
C_000028,NL,mobile,search,8,332.9120984370741,0,1,0
C_000029,IT,desktop,paid_social,12,200.07799431653456,0,1,0
C_000030,SE,tablet,search,1,99.51460696832314,0,0,0
C_000031,DE,desktop,display,5,233.93376243288523,0,0,0
C_000032,ES,mobile,search,5,307.2657300645955,0,1,0
C_000033,US,desktop,video,6,120.38517638121144,0,0,0
C_000034,NL,mobile,search,10,90.28776262634517,0,1,0
C_000035,UK,mobile,search,9,43.61561428310765,1,0,0
C_000036,FR,mobile,direct,5,181.54770457648178,0,0,0
C_000037,ES,tablet,direct,4,213.121761659881,2,0,0
C_000038,SE,mobile,display,5,291.51331573144887,0,1,0
C_000039,AU,mobile,direct,9,125.2108827246785,1,0,0
C_000040,IT,mobile,search,9,76.94452984954661,0,0,0
C_000041,US,desktop,search,4,29.854832655520408,1,0,0
C_000042,AU,mobile,direct,3,128.26191716111327,0,0,0
C_000043,AU,tablet,paid_social,5,55.41316575591541,1,1,0
C_000044,IT,mobile,paid_social,8,256.0100731017663,0,0,0
C_000045,AU,mobile,paid_social,5,31.760241968577965,0,0,0
C_000046,US,tablet,search,6,211.17681564754258,0,0,0
C_000047,UK,mobile,search,9,26.671700798174015,0,0,0
C_000048,IT,mobile,search,5,50.90076154440607,1,1,0
